Superlattice vectors (celldm1 units):
-0.500000 4.330127 0.000000
-4.000000 1.732051 0.000000
Layer 1 points (Angstrom):
C -9.840000 2.840563 0.000000
C -11.070000 4.970986 0.000000
C -12.300000 7.101408 0.000000
C -6.150000 0.710141 0.000000
C -7.380000 2.840563 0.000000
C -8.610000 2.130422 0.000000
C -8.610000 4.970986 0.000000
C -9.840000 4.260845 0.000000
C -9.840000 7.101408 0.000000
C -11.070000 6.391267 0.000000
C -11.070000 9.231831 0.000000
C -12.300000 8.521690 0.000000
C -12.300000 11.362253 0.000000
C -3.690000 0.710141 0.000000
C -4.920000 0.000000 0.000000
C -4.920000 2.840563 0.000000
C -6.150000 2.130422 0.000000
C -6.150000 4.970986 0.000000
C -7.380000 4.260845 0.000000
C -7.380000 7.101408 0.000000
C -8.610000 6.391267 0.000000
C -8.610000 9.231831 0.000000
C -9.840000 8.521690 0.000000
C -9.840000 11.362253 0.000000
C -11.070000 10.652112 0.000000
C -12.300000 12.782535 0.000000
C -2.460000 0.000000 0.000000
C -3.690000 2.130422 0.000000
C -3.690000 4.970986 0.000000
C -4.920000 4.260845 0.000000
C -4.920000 7.101408 0.000000
C -6.150000 6.391267 0.000000
C -6.150000 9.231831 0.000000
C -7.380000 8.521690 0.000000
C -8.610000 10.652112 0.000000
C -3.690000 6.391267 0.000000
C -3.690000 9.231831 0.000000
C -4.920000 8.521690 0.000000
Number of points in layer 1: 38
Layer 2 points (Angstrom):
C -7.833158 1.083898 3.300000
C -9.516316 2.877938 3.300000
C -11.199474 4.671977 3.300000
C -3.754737 -0.149504 3.300000
C -5.437895 1.644536 3.300000
C -6.473684 0.672764 3.300000
C -7.121053 3.438575 3.300000
C -8.156842 2.466804 3.300000
C -8.804211 5.232615 3.300000
C -9.840001 4.260843 3.300000
C -10.487370 7.026655 3.300000
C -11.523159 6.054883 3.300000
C -12.170528 8.820695 3.300000
C -2.395263 -0.560638 3.300000
C -3.042632 2.205174 3.300000
C -4.078421 1.233402 3.300000
C -4.725790 3.999213 3.300000
C -5.761579 3.027442 3.300000
C -6.408948 5.793253 3.300000
C -7.444738 4.821481 3.300000
C -8.092106 7.587293 3.300000
C -9.127896 6.615521 3.300000
C -9.775265 9.381333 3.300000
C -10.811054 8.409561 3.300000
C -11.458423 11.175372 3.300000
C -12.494212 10.203600 3.300000
C -3.366316 3.588079 3.300000
C -4.013685 6.353891 3.300000
C -5.049475 5.382119 3.300000
C -5.696843 8.147931 3.300000
C -6.732633 7.176159 3.300000
C -7.380002 9.941970 3.300000
C -8.415791 8.970199 3.300000
C -10.098949 10.764238 3.300000
C -11.782107 12.558278 3.300000
C -3.301580 8.708569 3.300000
C -4.337370 7.736797 3.300000
C -6.020528 9.530836 3.300000
Number of points in layer 2: 38

Total number of atoms: 76
