Superlattice vectors (celldm1 units):
-0.500000 4.330127 0.000000
-4.000000 1.732051 0.000000
Layer 1 points (Angstrom):
C -9.840000 2.840563 0.000000
C -11.070000 4.970986 0.000000
C -12.300000 7.101408 0.000000
C -6.150000 0.710141 0.000000
C -7.380000 2.840563 0.000000
C -8.610000 2.130422 0.000000
C -8.610000 4.970986 0.000000
C -9.840000 4.260845 0.000000
C -9.840000 7.101408 0.000000
C -11.070000 6.391267 0.000000
C -11.070000 9.231831 0.000000
C -12.300000 8.521690 0.000000
C -12.300000 11.362253 0.000000
C -3.690000 0.710141 0.000000
C -4.920000 0.000000 0.000000
C -4.920000 2.840563 0.000000
C -6.150000 2.130422 0.000000
C -6.150000 4.970986 0.000000
C -7.380000 4.260845 0.000000
C -7.380000 7.101408 0.000000
C -8.610000 6.391267 0.000000
C -8.610000 9.231831 0.000000
C -9.840000 8.521690 0.000000
C -9.840000 11.362253 0.000000
C -11.070000 10.652112 0.000000
C -12.300000 12.782535 0.000000
C -2.460000 0.000000 0.000000
C -3.690000 2.130422 0.000000
C -3.690000 4.970986 0.000000
C -4.920000 4.260845 0.000000
C -4.920000 7.101408 0.000000
C -6.150000 6.391267 0.000000
C -6.150000 9.231831 0.000000
C -7.380000 8.521690 0.000000
C -8.610000 10.652112 0.000000
C -3.690000 6.391267 0.000000
C -3.690000 9.231831 0.000000
C -4.920000 8.521690 0.000000
Number of points in layer 1: 38
Layer 2 points (Angstrom):
C -7.833158 1.083899 3.300000
C -9.516316 2.877939 3.300000
C -11.199474 4.671979 3.300000
C -3.754737 -0.149503 3.300000
C -5.437895 1.644537 3.300000
C -6.473684 0.672765 3.300000
C -7.121053 3.438577 3.300000
C -8.156842 2.466805 3.300000
C -8.804211 5.232617 3.300000
C -9.840000 4.260845 3.300000
C -10.487368 7.026657 3.300000
C -11.523158 6.054885 3.300000
C -12.170526 8.820697 3.300000
C -2.395263 -0.560637 3.300000
C -3.042632 2.205174 3.300000
C -4.078421 1.233402 3.300000
C -4.725789 3.999214 3.300000
C -5.761579 3.027442 3.300000
C -6.408947 5.793254 3.300000
C -7.444737 4.821482 3.300000
C -8.092105 7.587294 3.300000
C -9.127895 6.615522 3.300000
C -9.775263 9.381334 3.300000
C -10.811053 8.409562 3.300000
C -11.458421 11.175374 3.300000
C -12.494211 10.203602 3.300000
C -3.366316 3.588080 3.300000
C -4.013684 6.353892 3.300000
C -5.049474 5.382120 3.300000
C -5.696842 8.147932 3.300000
C -6.732632 7.176160 3.300000
C -7.380000 9.941972 3.300000
C -8.415789 8.970200 3.300000
C -10.098947 10.764240 3.300000
C -11.782105 12.558280 3.300000
C -3.301579 8.708569 3.300000
C -4.337368 7.736797 3.300000
C -6.020526 9.530837 3.300000
Number of points in layer 2: 38

Total number of atoms: 76
