Superlattice vectors (celldm1 units):
-0.500000 2.598076 0.000000
-2.500000 0.866025 0.000000
Layer 1 points (Angstrom):
S1 -7.790000 0.899512 4.344408
S2 -7.790000 0.899512 7.434640
S1 -9.348000 3.598047 4.344408
S2 -9.348000 3.598047 7.434640
S1 -10.906000 6.296582 4.344408
S2 -10.906000 6.296582 7.434640
S1 -4.674000 0.899512 4.344408
S2 -4.674000 0.899512 7.434640
Mo -6.232000 0.000000 5.889524
S1 -6.232000 3.598047 4.344408
S2 -6.232000 3.598047 7.434640
Mo -7.790000 2.698535 5.889524
S1 -7.790000 6.296582 4.344408
S2 -7.790000 6.296582 7.434640
Mo -9.348000 5.397070 5.889524
Mo -10.906000 8.095605 5.889524
Mo -3.116000 0.000000 5.889524
Mo -4.674000 2.698535 5.889524
S1 -4.674000 6.296582 4.344408
S2 -4.674000 6.296582 7.434640
Mo -6.232000 5.397070 5.889524
Number of points in layer 1: 21
Layer 2 points (Angstrom):
S1 -8.902857 1.285019 10.244408
S2 -8.902857 1.285019 13.334640
Mo -2.893429 -1.156514 11.789524
S1 -3.561143 0.514007 10.244408
S2 -3.561143 0.514007 13.334640
Mo -5.341714 0.771011 11.789524
S1 -6.009428 2.441533 10.244408
S2 -6.009428 2.441533 13.334640
Mo -7.789999 2.698537 11.789524
S1 -8.457713 4.369059 10.244408
S2 -8.457713 4.369059 13.334640
Mo -10.238285 4.626062 11.789524
S1 -10.905999 6.296584 10.244408
S2 -10.905999 6.296584 13.334640
Mo -4.896571 3.855051 11.789524
S1 -5.564285 5.525573 10.244408
S2 -5.564285 5.525573 13.334640
Mo -7.344856 5.782577 11.789524
S1 -8.012570 7.453099 10.244408
S2 -8.012570 7.453099 13.334640
Mo -9.793141 7.710102 11.789524
Number of points in layer 2: 21

Total number of atoms: 42
