Superlattice vectors (celldm1 units):
-0.500000 37.239092 0.000000
-32.500000 18.186533 0.000000
Layer 1 points (Angstrom):
S1 -101.790000 55.151962 4.344408
S2 -101.790000 55.151962 7.434640
S1 -103.356000 57.864353 4.344408
S2 -103.356000 57.864353 7.434640
S1 -97.092000 52.439570 4.344408
S2 -97.092000 52.439570 7.434640
S1 -98.658000 55.151962 4.344408
S2 -98.658000 55.151962 7.434640
Mo -100.224000 54.247831 5.889524
S1 -100.224000 57.864353 4.344408
S2 -100.224000 57.864353 7.434640
Mo -101.790000 56.960223 5.889524
S1 -101.790000 60.576745 4.344408
S2 -101.790000 60.576745 7.434640
Mo -103.356000 59.672614 5.889524
S1 -103.356000 63.289136 4.344408
S2 -103.356000 63.289136 7.434640
S1 -92.394000 49.727178 4.344408
S2 -92.394000 49.727178 7.434640
S1 -93.960000 52.439570 4.344408
S2 -93.960000 52.439570 7.434640
Mo -95.526000 51.535440 5.889524
S1 -95.526000 55.151962 4.344408
S2 -95.526000 55.151962 7.434640
Mo -97.092000 54.247831 5.889524
S1 -97.092000 57.864353 4.344408
S2 -97.092000 57.864353 7.434640
Mo -98.658000 56.960223 5.889524
S1 -98.658000 60.576745 4.344408
S2 -98.658000 60.576745 7.434640
Mo -100.224000 59.672614 5.889524
S1 -100.224000 63.289136 4.344408
S2 -100.224000 63.289136 7.434640
Mo -101.790000 62.385006 5.889524
S1 -101.790000 66.001528 4.344408
S2 -101.790000 66.001528 7.434640
Mo -103.356000 65.097397 5.889524
S1 -103.356000 68.713919 4.344408
S2 -103.356000 68.713919 7.434640
S1 -87.696000 47.014787 4.344408
S2 -87.696000 47.014787 7.434640
S1 -89.262000 49.727178 4.344408
S2 -89.262000 49.727178 7.434640
Mo -90.828000 48.823048 5.889524
S1 -90.828000 52.439570 4.344408
S2 -90.828000 52.439570 7.434640
Mo -92.394000 51.535440 5.889524
S1 -92.394000 55.151962 4.344408
S2 -92.394000 55.151962 7.434640
Mo -93.960000 54.247831 5.889524
S1 -93.960000 57.864353 4.344408
S2 -93.960000 57.864353 7.434640
Mo -95.526000 56.960223 5.889524
S1 -95.526000 60.576745 4.344408
S2 -95.526000 60.576745 7.434640
Mo -97.092000 59.672614 5.889524
S1 -97.092000 63.289136 4.344408
S2 -97.092000 63.289136 7.434640
Mo -98.658000 62.385006 5.889524
S1 -98.658000 66.001528 4.344408
S2 -98.658000 66.001528 7.434640
Mo -100.224000 65.097397 5.889524
