Superlattice vectors (celldm1 units):
-0.500000 11.258330 0.000000
-10.000000 5.196152 0.000000
Layer 1 points (Angstrom):
S1 -31.160000 14.392187 4.344408
S2 -31.160000 14.392187 7.434640
S1 -32.718000 17.090723 4.344408
S2 -32.718000 17.090723 7.434640
S1 -26.486000 11.693652 4.344408
S2 -26.486000 11.693652 7.434640
S1 -28.044000 14.392187 4.344408
S2 -28.044000 14.392187 7.434640
Mo -29.602000 13.492676 5.889524
S1 -29.602000 17.090723 4.344408
S2 -29.602000 17.090723 7.434640
Mo -31.160000 16.191211 5.889524
S1 -31.160000 19.789258 4.344408
S2 -31.160000 19.789258 7.434640
Mo -32.718000 18.889746 5.889524
S1 -32.718000 22.487793 4.344408
S2 -32.718000 22.487793 7.434640
S1 -21.812000 8.995117 4.344408
S2 -21.812000 8.995117 7.434640
S1 -23.370000 11.693652 4.344408
S2 -23.370000 11.693652 7.434640
Mo -24.928000 10.794141 5.889524
S1 -24.928000 14.392187 4.344408
S2 -24.928000 14.392187 7.434640
Mo -26.486000 13.492676 5.889524
S1 -26.486000 17.090723 4.344408
S2 -26.486000 17.090723 7.434640
Mo -28.044000 16.191211 5.889524
S1 -28.044000 19.789258 4.344408
S2 -28.044000 19.789258 7.434640
Mo -29.602000 18.889746 5.889524
S1 -29.602000 22.487793 4.344408
S2 -29.602000 22.487793 7.434640
Mo -31.160000 21.588281 5.889524
S1 -31.160000 25.186328 4.344408
S2 -31.160000 25.186328 7.434640
Mo -32.718000 24.286816 5.889524
S1 -32.718000 27.884863 4.344408
S2 -32.718000 27.884863 7.434640
Mo -34.276000 26.985351 5.889524
S1 -34.276000 30.583398 4.344408
S2 -34.276000 30.583398 7.434640
S1 -17.138000 6.296582 4.344408
S2 -17.138000 6.296582 7.434640
S1 -18.696000 8.995117 4.344408
S2 -18.696000 8.995117 7.434640
Mo -20.254000 8.095605 5.889524
S1 -20.254000 11.693652 4.344408
S2 -20.254000 11.693652 7.434640
Mo -21.812000 10.794141 5.889524
S1 -21.812000 14.392187 4.344408
S2 -21.812000 14.392187 7.434640
Mo -23.370000 13.492676 5.889524
S1 -23.370000 17.090723 4.344408
S2 -23.370000 17.090723 7.434640
Mo -24.928000 16.191211 5.889524
S1 -24.928000 19.789258 4.344408
S2 -24.928000 19.789258 7.434640
Mo -26.486000 18.889746 5.889524
S1 -26.486000 22.487793 4.344408
S2 -26.486000 22.487793 7.434640
Mo -28.044000 21.588281 5.889524
S1 -28.044000 25.186328 4.344408
S2 -28.044000 25.186328 7.434640
Mo -29.602000 24.286816 5.889524
S1 -29.602000 27.884863 4.344408
S2 -29.602000 27.884863 7.434640
Mo -31.160000 26.985351 5.889524
S1 -31.160000 30.583398 4.344408
S2 -31.160000 30.583398 7.434640
Mo -32.718000 29.683887 5.889524
S1 -32.718000 33.281933 4.344408
S2 -32.718000 33.281933 7.434640
Mo -34.276000 32.382422 5.889524
S1 -34.276000 35.980469 4.344408
S2 -34.276000 35.980469 7.434640
S1 -12.464000 3.598047 4.344408
S2 -12.464000 3.598047 7.434640
S1 -14.022000 6.296582 4.344408
S2 -14.022000 6.296582 7.434640
Mo -15.580000 5.397070 5.889524
S1 -15.580000 8.995117 4.344408
S2 -15.580000 8.995117 7.434640
Mo -17.138000 8.095605 5.889524
