Superlattice vectors (celldm1 units):
-4.499999 -6.062180 0.000000
-7.499989 0.866006 0.000000
Layer 1 points (Angstrom):
S1 -41.059664 -18.235331 4.410750
S2 -41.059664 -18.235331 7.548172
S1 -37.901229 -18.235324 4.410750
S2 -37.901229 -18.235324 7.548172
S1 -39.480444 -15.500043 4.410750
S2 -39.480444 -15.500043 7.548172
Mo -41.059662 -16.411808 5.979461
S1 -34.742795 -18.235316 4.410750
S2 -34.742795 -18.235316 7.548172
Mo -36.322012 -19.147081 5.979461
S1 -36.322010 -15.500035 4.410750
S2 -36.322010 -15.500035 7.548172
Mo -37.901228 -16.411801 5.979461
S1 -37.901225 -12.764755 4.410750
S2 -37.901225 -12.764755 7.548172
S1 -31.584360 -18.235308 4.410750
S2 -31.584360 -18.235308 7.548172
Mo -33.163578 -19.147073 5.979461
S1 -33.163575 -15.500027 4.410750
S2 -33.163575 -15.500027 7.548172
Mo -34.742793 -16.411793 5.979461
S1 -34.742790 -12.764747 4.410750
S2 -34.742790 -12.764747 7.548172
Mo -36.322008 -13.676512 5.979461
S1 -36.322005 -10.029466 4.410750
S2 -36.322005 -10.029466 7.548172
S1 -28.425926 -18.235300 4.410750
S2 -28.425926 -18.235300 7.548172
Mo -30.005144 -19.147066 5.979461
S1 -30.005141 -15.500020 4.410750
S2 -30.005141 -15.500020 7.548172
Mo -31.584359 -16.411785 5.979461
S1 -31.584356 -12.764739 4.410750
S2 -31.584356 -12.764739 7.548172
Mo -33.163573 -13.676504 5.979461
S1 -33.163571 -10.029458 4.410750
S2 -33.163571 -10.029458 7.548172
Mo -34.742789 -10.941224 5.979461
S1 -25.267491 -18.235292 4.410750
S2 -25.267491 -18.235292 7.548172
Mo -26.846709 -19.147058 5.979461
S1 -26.846706 -15.500012 4.410750
S2 -26.846706 -15.500012 7.548172
Mo -28.425924 -16.411777 5.979461
S1 -28.425921 -12.764731 4.410750
S2 -28.425921 -12.764731 7.548172
Mo -30.005139 -13.676497 5.979461
S1 -30.005136 -10.029451 4.410750
S2 -30.005136 -10.029451 7.548172
Mo -31.584354 -10.941216 5.979461
S1 -31.584351 -7.294170 4.410750
S2 -31.584351 -7.294170 7.548172
Mo -33.163569 -8.205935 5.979461
S1 -20.529842 -20.970565 4.410750
S2 -20.529842 -20.970565 7.548172
S1 -22.109057 -18.235285 4.410750
S2 -22.109057 -18.235285 7.548172
Mo -23.688275 -19.147050 5.979461
S1 -23.688272 -15.500004 4.410750
S2 -23.688272 -15.500004 7.548172
Mo -25.267490 -16.411769 5.979461
S1 -25.267487 -12.764723 4.410750
S2 -25.267487 -12.764723 7.548172
Mo -26.846705 -13.676489 5.979461
S1 -26.846702 -10.029443 4.410750
S2 -26.846702 -10.029443 7.548172
Mo -28.425920 -10.941208 5.979461
S1 -28.425917 -7.294162 4.410750
S2 -28.425917 -7.294162 7.548172
Mo -30.005135 -8.205928 5.979461
S1 -30.005132 -4.558882 4.410750
S2 -30.005132 -4.558882 7.548172
Mo -31.584350 -5.470647 5.979461
S1 -18.950622 -18.235277 4.410750
S2 -18.950622 -18.235277 7.548172
Mo -20.529840 -19.147042 5.979461
S1 -20.529837 -15.499996 4.410750
S2 -20.529837 -15.499996 7.548172
Mo -22.109055 -16.411762 5.979461
S1 -22.109052 -12.764716 4.410750
S2 -22.109052 -12.764716 7.548172
Mo -23.688270 -13.676481 5.979461
S1 -23.688267 -10.029435 4.410750
S2 -23.688267 -10.029435 7.548172
Mo -25.267485 -10.941200 5.979461
S1 -25.267482 -7.294154 4.410750
S2 -25.267482 -7.294154 7.548172
Mo -26.846700 -8.205920 5.979461
S1 -26.846697 -4.558874 4.410750
S2 -26.846697 -4.558874 7.548172
Mo -28.425915 -5.470639 5.979461
S1 -28.425912 -1.823593 4.410750
S2 -28.425912 -1.823593 7.548172
Mo -30.005130 -2.735359 5.979461
S1 -17.371403 -15.499988 4.410750
S2 -17.371403 -15.499988 7.548172
Mo -18.950620 -16.411754 5.979461
S1 -18.950618 -12.764708 4.410750
S2 -18.950618 -12.764708 7.548172
Mo -20.529836 -13.676473 5.979461
S1 -20.529833 -10.029427 4.410750
S2 -20.529833 -10.029427 7.548172
Mo -22.109051 -10.941193 5.979461
S1 -22.109048 -7.294147 4.410750
S2 -22.109048 -7.294147 7.548172
Mo -23.688265 -8.205912 5.979461
S1 -23.688263 -4.558866 4.410750
S2 -23.688263 -4.558866 7.548172
Mo -25.267481 -5.470631 5.979461
S1 -25.267478 -1.823585 4.410750
S2 -25.267478 -1.823585 7.548172
Mo -26.846696 -2.735351 5.979461
Mo -28.425911 -0.000070 5.979461
Mo -15.792186 -16.411746 5.979461
S1 -15.792183 -12.764700 4.410750
S2 -15.792183 -12.764700 7.548172
Mo -17.371401 -13.676465 5.979461
S1 -17.371398 -10.029419 4.410750
S2 -17.371398 -10.029419 7.548172
Mo -18.950616 -10.941185 5.979461
S1 -18.950613 -7.294139 4.410750
S2 -18.950613 -7.294139 7.548172
Mo -20.529831 -8.205904 5.979461
S1 -20.529828 -4.558858 4.410750
S2 -20.529828 -4.558858 7.548172
Mo -22.109046 -5.470624 5.979461
S1 -22.109043 -1.823578 4.410750
S2 -22.109043 -1.823578 7.548172
Mo -23.688261 -2.735343 5.979461
Mo -25.267476 -0.000062 5.979461
Mo -14.212967 -13.676458 5.979461
S1 -14.212964 -10.029412 4.410750
S2 -14.212964 -10.029412 7.548172
Mo -15.792182 -10.941177 5.979461
S1 -15.792179 -7.294131 4.410750
S2 -15.792179 -7.294131 7.548172
Mo -17.371397 -8.205896 5.979461
S1 -17.371394 -4.558850 4.410750
S2 -17.371394 -4.558850 7.548172
Mo -18.950612 -5.470616 5.979461
S1 -18.950609 -1.823570 4.410750
S2 -18.950609 -1.823570 7.548172
Mo -20.529827 -2.735335 5.979461
S1 -11.054529 -10.029404 4.410750
S2 -11.054529 -10.029404 7.548172
Mo -12.633747 -10.941169 5.979461
S1 -12.633744 -7.294123 4.410750
S2 -12.633744 -7.294123 7.548172
Mo -14.212962 -8.205889 5.979461
S1 -14.212959 -4.558843 4.410750
S2 -14.212959 -4.558843 7.548172
Mo -15.792177 -5.470608 5.979461
S1 -15.792174 -1.823562 4.410750
S2 -15.792174 -1.823562 7.548172
Mo -17.371392 -2.735327 5.979461
S1 -9.475310 -7.294115 4.410750
S2 -9.475310 -7.294115 7.548172
Mo -11.054528 -8.205881 5.979461
S1 -11.054525 -4.558835 4.410750
S2 -11.054525 -4.558835 7.548172
Mo -12.633743 -5.470600 5.979461
S1 -12.633740 -1.823554 4.410750
S2 -12.633740 -1.823554 7.548172
Mo -14.212958 -2.735320 5.979461
S1 -7.896090 -4.558827 4.410750
S2 -7.896090 -4.558827 7.548172
Mo -9.475308 -5.470592 5.979461
S1 -9.475305 -1.823546 4.410750
S2 -9.475305 -1.823546 7.548172
Mo -11.054523 -2.735312 5.979461
Mo -7.896089 -2.735304 5.979461
Number of points in layer 1: 171
Layer 2 points (Angstrom):
Se1 -39.361780 -17.698445 10.610750
Se2 -39.361780 -17.698445 13.748172
Mo -41.125628 -16.967815 12.179461
Mo -35.834084 -19.159704 12.179461
Se1 -36.083264 -17.266852 10.610750
Se2 -36.083264 -17.266852 13.748172
Mo -37.847112 -16.536223 12.179461
Se1 -38.096292 -14.643370 10.610750
Se2 -38.096292 -14.643370 13.748172
Se1 -30.791720 -19.458742 10.610750
Se2 -30.791720 -19.458742 13.748172
Mo -32.555568 -18.728112 12.179461
Se1 -32.804748 -16.835260 10.610750
Se2 -32.804748 -16.835260 13.748172
Mo -34.568596 -16.104630 12.179461
Se1 -34.817776 -14.211778 10.610750
Se2 -34.817776 -14.211778 13.748172
Mo -36.581624 -13.481148 12.179461
Se1 -36.830804 -11.588296 10.610750
Se2 -36.830804 -11.588296 13.748172
