Superlattice vectors (celldm1 units):
28.00000000000 -48.49742240000 0.00000000000
28.00000000000 48.49742240000 0.00000000000
Layer 1 points (Angstrom):
B 69.07799995600 -123.91969812498 0.00000000000
N 69.07799995600 -121.07096943530 0.00000000000
B 67.84446424250 -121.78315160559 0.00000000000
N 67.84446424250 -118.93442291591 0.00000000000
B 66.61092852900 -119.64660508619 0.00000000000
N 66.61092852900 -116.79787639651 0.00000000000
B 65.37739281550 -117.51005856679 0.00000000000
N 65.37739281550 -114.66132987711 0.00000000000
B 64.14385710200 -115.37351204740 0.00000000000
N 64.14385710200 -112.52478335772 0.00000000000
B 62.91032138850 -113.23696552800 0.00000000000
N 62.91032138850 -110.38823683832 0.00000000000
B 61.67678567500 -111.10041900860 0.00000000000
N 61.67678567500 -108.25169031893 0.00000000000
B 60.44324996150 -108.96387248921 0.00000000000
N 60.44324996150 -106.11514379953 0.00000000000
B 59.20971424800 -106.82732596981 0.00000000000
N 59.20971424800 -103.97859728013 0.00000000000
B 57.97617853450 -104.69077945042 0.00000000000
N 57.97617853450 -101.84205076074 0.00000000000
B 56.74264282100 -102.55423293102 0.00000000000
N 56.74264282100 -99.70550424134 0.00000000000
B 55.50910710750 -100.41768641162 0.00000000000
N 55.50910710750 -97.56895772194 0.00000000000
B 54.27557139400 -98.28113989223 0.00000000000
N 54.27557139400 -95.43241120255 0.00000000000
B 53.04203568050 -96.14459337283 0.00000000000
N 53.04203568050 -93.29586468315 0.00000000000
B 51.80849996700 -94.00804685343 0.00000000000
N 51.80849996700 -91.15931816376 0.00000000000
B 50.57496425350 -91.87150033404 0.00000000000
N 50.57496425350 -89.02277164436 0.00000000000
B 49.34142854000 -89.73495381464 0.00000000000
N 49.34142854000 -86.88622512496 0.00000000000
B 48.10789282650 -87.59840729525 0.00000000000
N 48.10789282650 -84.74967860557 0.00000000000
B 46.87435711300 -85.46186077585 0.00000000000
N 46.87435711300 -82.61313208617 0.00000000000
B 45.64082139950 -83.32531425645 0.00000000000
N 45.64082139950 -80.47658556677 0.00000000000
B 44.40728568600 -81.18876773706 0.00000000000
N 44.40728568600 -78.34003904738 0.00000000000
B 43.17374997250 -79.05222121766 0.00000000000
N 43.17374997250 -76.20349252798 0.00000000000
B 41.94021425900 -76.91567469826 0.00000000000
N 41.94021425900 -74.06694600859 0.00000000000
B 40.70667854550 -74.77912817887 0.00000000000
N 40.70667854550 -71.93039948919 0.00000000000
B 39.47314283200 -72.64258165947 0.00000000000
N 39.47314283200 -69.79385296979 0.00000000000
B 38.23960711850 -70.50603514008 0.00000000000
N 38.23960711850 -67.65730645040 0.00000000000
B 37.00607140500 -68.36948862068 0.00000000000
N 37.00607140500 -65.52075993100 0.00000000000
B 35.77253569150 -66.23294210128 0.00000000000
N 35.77253569150 -63.38421341160 0.00000000000
B 34.53899997800 -64.09639558189 0.00000000000
N 34.53899997800 -61.24766689221 0.00000000000
B 33.30546426450 -61.95984906249 0.00000000000
N 33.30546426450 -59.11112037281 0.00000000000
B 32.07192855100 -59.82330254309 0.00000000000
N 32.07192855100 -56.97457385342 0.00000000000
B 30.83839283750 -57.68675602370 0.00000000000
N 30.83839283750 -54.83802733402 0.00000000000
B 29.60485712400 -55.55020950430 0.00000000000
N 29.60485712400 -52.70148081462 0.00000000000
B 28.37132141050 -53.41366298491 0.00000000000
N 28.37132141050 -50.56493429523 0.00000000000
B 27.13778569700 -51.27711646551 0.00000000000
N 27.13778569700 -48.42838777583 0.00000000000
B 25.90424998350 -49.14056994611 0.00000000000
N 25.90424998350 -46.29184125643 0.00000000000
B 24.67071427000 -47.00402342672 0.00000000000
N 24.67071427000 -44.15529473704 0.00000000000
B 23.43717855650 -44.86747690732 0.00000000000
N 23.43717855650 -42.01874821764 0.00000000000
B 22.20364284300 -42.73093038792 0.00000000000
N 22.20364284300 -39.88220169825 0.00000000000
B 20.97010712950 -40.59438386853 0.00000000000
N 20.97010712950 -37.74565517885 0.00000000000
B 19.73657141600 -38.45783734913 0.00000000000
N 19.73657141600 -35.60910865945 0.00000000000
B 18.50303570250 -36.32129082974 0.00000000000
N 18.50303570250 -33.47256214006 0.00000000000
B 17.26949998900 -34.18474431034 0.00000000000
N 17.26949998900 -31.33601562066 0.00000000000
B 16.03596427550 -32.04819779094 0.00000000000
N 16.03596427550 -29.19946910126 0.00000000000
B 14.80242856200 -29.91165127155 0.00000000000
N 14.80242856200 -27.06292258187 0.00000000000
B 13.56889284850 -27.77510475215 0.00000000000
N 13.56889284850 -24.92637606247 0.00000000000
B 12.33535713500 -25.63855823275 0.00000000000
N 12.33535713500 -22.78982954308 0.00000000000
B 11.10182142150 -23.50201171336 0.00000000000
N 11.10182142150 -20.65328302368 0.00000000000
B 9.86828570800 -21.36546519396 0.00000000000
N 9.86828570800 -18.51673650428 0.00000000000
B 8.63474999450 -19.22891867457 0.00000000000
N 8.63474999450 -16.38018998489 0.00000000000
B 7.40121428100 -17.09237215517 0.00000000000
N 7.40121428100 -14.24364346549 0.00000000000
B 6.16767856750 -14.95582563577 0.00000000000
N 6.16767856750 -12.10709694609 0.00000000000
B 4.93414285400 -12.81927911638 0.00000000000
N 4.93414285400 -9.97055042670 0.00000000000
B 3.70060714050 -10.68273259698 0.00000000000
N 3.70060714050 -7.83400390730 0.00000000000
B 2.46707142700 -8.54618607758 0.00000000000
N 2.46707142700 -5.69745738791 0.00000000000
B 1.23353571350 -6.40963955819 0.00000000000
N 1.23353571350 -3.56091086851 0.00000000000
B 70.31153566950 -121.78315160559 0.00000000000
N 70.31153566950 -118.93442291591 0.00000000000
B 69.07799995600 -119.64660508619 0.00000000000
N 69.07799995600 -116.79787639651 0.00000000000
B 67.84446424250 -117.51005856679 0.00000000000
N 67.84446424250 -114.66132987711 0.00000000000
B 66.61092852900 -115.37351204740 0.00000000000
N 66.61092852900 -112.52478335772 0.00000000000
B 65.37739281550 -113.23696552800 0.00000000000
N 65.37739281550 -110.38823683832 0.00000000000
B 64.14385710200 -111.10041900860 0.00000000000
N 64.14385710200 -108.25169031893 0.00000000000
B 62.91032138850 -108.96387248921 0.00000000000
N 62.91032138850 -106.11514379953 0.00000000000
B 61.67678567500 -106.82732596981 0.00000000000
N 61.67678567500 -103.97859728013 0.00000000000
B 60.44324996150 -104.69077945042 0.00000000000
N 60.44324996150 -101.84205076074 0.00000000000
B 59.20971424800 -102.55423293102 0.00000000000
N 59.20971424800 -99.70550424134 0.00000000000
B 57.97617853450 -100.41768641162 0.00000000000
N 57.97617853450 -97.56895772194 0.00000000000
B 56.74264282100 -98.28113989223 0.00000000000
N 56.74264282100 -95.43241120255 0.00000000000
B 55.50910710750 -96.14459337283 0.00000000000
N 55.50910710750 -93.29586468315 0.00000000000
B 54.27557139400 -94.00804685343 0.00000000000
N 54.27557139400 -91.15931816376 0.00000000000
B 53.04203568050 -91.87150033404 0.00000000000
N 53.04203568050 -89.02277164436 0.00000000000
B 51.80849996700 -89.73495381464 0.00000000000
N 51.80849996700 -86.88622512496 0.00000000000
B 50.57496425350 -87.59840729525 0.00000000000
N 50.57496425350 -84.74967860557 0.00000000000
B 49.34142854000 -85.46186077585 0.00000000000
N 49.34142854000 -82.61313208617 0.00000000000
B 48.10789282650 -83.32531425645 0.00000000000
N 48.10789282650 -80.47658556677 0.00000000000
B 46.87435711300 -81.18876773706 0.00000000000
N 46.87435711300 -78.34003904738 0.00000000000
B 45.64082139950 -79.05222121766 0.00000000000
N 45.64082139950 -76.20349252798 0.00000000000
B 44.40728568600 -76.91567469826 0.00000000000
N 44.40728568600 -74.06694600859 0.00000000000
B 43.17374997250 -74.77912817887 0.00000000000
N 43.17374997250 -71.93039948919 0.00000000000
B 41.94021425900 -72.64258165947 0.00000000000
N 41.94021425900 -69.79385296979 0.00000000000
B 40.70667854550 -70.50603514008 0.00000000000
N 40.70667854550 -67.65730645040 0.00000000000
B 39.47314283200 -68.36948862068 0.00000000000
N 39.47314283200 -65.52075993100 0.00000000000
B 38.23960711850 -66.23294210128 0.00000000000
N 38.23960711850 -63.38421341160 0.00000000000
B 37.00607140500 -64.09639558189 0.00000000000
N 37.00607140500 -61.24766689221 0.00000000000
B 35.77253569150 -61.95984906249 0.00000000000
N 35.77253569150 -59.11112037281 0.00000000000
B 34.53899997800 -59.82330254309 0.00000000000
N 34.53899997800 -56.97457385342 0.00000000000
B 33.30546426450 -57.68675602370 0.00000000000
N 33.30546426450 -54.83802733402 0.00000000000
B 32.07192855100 -55.55020950430 0.00000000000
N 32.07192855100 -52.70148081462 0.00000000000
B 30.83839283750 -53.41366298491 0.00000000000
N 30.83839283750 -50.56493429523 0.00000000000
B 29.60485712400 -51.27711646551 0.00000000000
N 29.60485712400 -48.42838777583 0.00000000000
B 28.37132141050 -49.14056994611 0.00000000000
N 28.37132141050 -46.29184125643 0.00000000000
B 27.13778569700 -47.00402342672 0.00000000000
N 27.13778569700 -44.15529473704 0.00000000000
B 25.90424998350 -44.86747690732 0.00000000000
N 25.90424998350 -42.01874821764 0.00000000000
B 24.67071427000 -42.73093038792 0.00000000000
N 24.67071427000 -39.88220169825 0.00000000000
B 23.43717855650 -40.59438386853 0.00000000000
N 23.43717855650 -37.74565517885 0.00000000000
B 22.20364284300 -38.45783734913 0.00000000000
N 22.20364284300 -35.60910865945 0.00000000000
B 20.97010712950 -36.32129082974 0.00000000000
N 20.97010712950 -33.47256214006 0.00000000000
B 19.73657141600 -34.18474431034 0.00000000000
N 19.73657141600 -31.33601562066 0.00000000000
B 18.50303570250 -32.04819779094 0.00000000000
N 18.50303570250 -29.19946910126 0.00000000000
B 17.26949998900 -29.91165127155 0.00000000000
N 17.26949998900 -27.06292258187 0.00000000000
B 16.03596427550 -27.77510475215 0.00000000000
N 16.03596427550 -24.92637606247 0.00000000000
B 14.80242856200 -25.63855823275 0.00000000000
N 14.80242856200 -22.78982954308 0.00000000000
B 13.56889284850 -23.50201171336 0.00000000000
N 13.56889284850 -20.65328302368 0.00000000000
B 12.33535713500 -21.36546519396 0.00000000000
N 12.33535713500 -18.51673650428 0.00000000000
B 11.10182142150 -19.22891867457 0.00000000000
N 11.10182142150 -16.38018998489 0.00000000000
B 9.86828570800 -17.09237215517 0.00000000000
N 9.86828570800 -14.24364346549 0.00000000000
B 8.63474999450 -14.95582563577 0.00000000000
N 8.63474999450 -12.10709694609 0.00000000000
B 7.40121428100 -12.81927911638 0.00000000000
N 7.40121428100 -9.97055042670 0.00000000000
B 6.16767856750 -10.68273259698 0.00000000000
N 6.16767856750 -7.83400390730 0.00000000000
B 4.93414285400 -8.54618607758 0.00000000000
N 4.93414285400 -5.69745738791 0.00000000000
B 3.70060714050 -6.40963955819 0.00000000000
N 3.70060714050 -3.56091086851 0.00000000000
B 2.46707142700 -4.27309303879 0.00000000000
N 2.46707142700 -1.42436434911 0.00000000000
B 71.54507138300 -119.64660508619 0.00000000000
N 71.54507138300 -116.79787639651 0.00000000000
B 70.31153566950 -117.51005856679 0.00000000000
N 70.31153566950 -114.66132987711 0.00000000000
B 69.07799995600 -115.37351204740 0.00000000000
N 69.07799995600 -112.52478335772 0.00000000000
B 67.84446424250 -113.23696552800 0.00000000000
N 67.84446424250 -110.38823683832 0.00000000000
B 66.61092852900 -111.10041900860 0.00000000000
N 66.61092852900 -108.25169031893 0.00000000000
B 65.37739281550 -108.96387248921 0.00000000000
N 65.37739281550 -106.11514379953 0.00000000000
B 64.14385710200 -106.82732596981 0.00000000000
N 64.14385710200 -103.97859728013 0.00000000000
B 62.91032138850 -104.69077945042 0.00000000000
N 62.91032138850 -101.84205076074 0.00000000000
B 61.67678567500 -102.55423293102 0.00000000000
N 61.67678567500 -99.70550424134 0.00000000000
B 60.44324996150 -100.41768641162 0.00000000000
N 60.44324996150 -97.56895772194 0.00000000000
B 59.20971424800 -98.28113989223 0.00000000000
N 59.20971424800 -95.43241120255 0.00000000000
B 57.97617853450 -96.14459337283 0.00000000000
N 57.97617853450 -93.29586468315 0.00000000000
B 56.74264282100 -94.00804685343 0.00000000000
N 56.74264282100 -91.15931816376 0.00000000000
B 55.50910710750 -91.87150033404 0.00000000000
N 55.50910710750 -89.02277164436 0.00000000000
B 54.27557139400 -89.73495381464 0.00000000000
N 54.27557139400 -86.88622512496 0.00000000000
B 53.04203568050 -87.59840729525 0.00000000000
N 53.04203568050 -84.74967860557 0.00000000000
B 51.80849996700 -85.46186077585 0.00000000000
N 51.80849996700 -82.61313208617 0.00000000000
B 50.57496425350 -83.32531425645 0.00000000000
N 50.57496425350 -80.47658556677 0.00000000000
B 49.34142854000 -81.18876773706 0.00000000000
N 49.34142854000 -78.34003904738 0.00000000000
B 48.10789282650 -79.05222121766 0.00000000000
N 48.10789282650 -76.20349252798 0.00000000000
B 46.87435711300 -76.91567469826 0.00000000000
N 46.87435711300 -74.06694600859 0.00000000000
B 45.64082139950 -74.77912817887 0.00000000000
N 45.64082139950 -71.93039948919 0.00000000000
B 44.40728568600 -72.64258165947 0.00000000000
N 44.40728568600 -69.79385296979 0.00000000000
B 43.17374997250 -70.50603514008 0.00000000000
N 43.17374997250 -67.65730645040 0.00000000000
B 41.94021425900 -68.36948862068 0.00000000000
N 41.94021425900 -65.52075993100 0.00000000000
B 40.70667854550 -66.23294210128 0.00000000000
N 40.70667854550 -63.38421341160 0.00000000000
B 39.47314283200 -64.09639558189 0.00000000000
N 39.47314283200 -61.24766689221 0.00000000000
B 38.23960711850 -61.95984906249 0.00000000000
N 38.23960711850 -59.11112037281 0.00000000000
B 37.00607140500 -59.82330254309 0.00000000000
N 37.00607140500 -56.97457385342 0.00000000000
B 35.77253569150 -57.68675602370 0.00000000000
N 35.77253569150 -54.83802733402 0.00000000000
B 34.53899997800 -55.55020950430 0.00000000000
N 34.53899997800 -52.70148081462 0.00000000000
B 33.30546426450 -53.41366298491 0.00000000000
N 33.30546426450 -50.56493429523 0.00000000000
B 32.07192855100 -51.27711646551 0.00000000000
N 32.07192855100 -48.42838777583 0.00000000000
B 30.83839283750 -49.14056994611 0.00000000000
N 30.83839283750 -46.29184125643 0.00000000000
B 29.60485712400 -47.00402342672 0.00000000000
N 29.60485712400 -44.15529473704 0.00000000000
B 28.37132141050 -44.86747690732 0.00000000000
N 28.37132141050 -42.01874821764 0.00000000000
B 27.13778569700 -42.73093038792 0.00000000000
N 27.13778569700 -39.88220169825 0.00000000000
B 25.90424998350 -40.59438386853 0.00000000000
N 25.90424998350 -37.74565517885 0.00000000000
B 24.67071427000 -38.45783734913 0.00000000000
N 24.67071427000 -35.60910865945 0.00000000000
B 23.43717855650 -36.32129082974 0.00000000000
N 23.43717855650 -33.47256214006 0.00000000000
B 22.20364284300 -34.18474431034 0.00000000000
N 22.20364284300 -31.33601562066 0.00000000000
B 20.97010712950 -32.04819779094 0.00000000000
N 20.97010712950 -29.19946910126 0.00000000000
B 19.73657141600 -29.91165127155 0.00000000000
N 19.73657141600 -27.06292258187 0.00000000000
B 18.50303570250 -27.77510475215 0.00000000000
N 18.50303570250 -24.92637606247 0.00000000000
B 17.26949998900 -25.63855823275 0.00000000000
N 17.26949998900 -22.78982954308 0.00000000000
B 16.03596427550 -23.50201171336 0.00000000000
N 16.03596427550 -20.65328302368 0.00000000000
B 14.80242856200 -21.36546519396 0.00000000000
N 14.80242856200 -18.51673650428 0.00000000000
B 13.56889284850 -19.22891867457 0.00000000000
N 13.56889284850 -16.38018998489 0.00000000000
B 12.33535713500 -17.09237215517 0.00000000000
N 12.33535713500 -14.24364346549 0.00000000000
B 11.10182142150 -14.95582563577 0.00000000000
N 11.10182142150 -12.10709694609 0.00000000000
B 9.86828570800 -12.81927911638 0.00000000000
N 9.86828570800 -9.97055042670 0.00000000000
B 8.63474999450 -10.68273259698 0.00000000000
N 8.63474999450 -7.83400390730 0.00000000000
B 7.40121428100 -8.54618607758 0.00000000000
N 7.40121428100 -5.69745738791 0.00000000000
B 6.16767856750 -6.40963955819 0.00000000000
N 6.16767856750 -3.56091086851 0.00000000000
B 4.93414285400 -4.27309303879 0.00000000000
N 4.93414285400 -1.42436434911 0.00000000000
B 3.70060714050 -2.13654651940 0.00000000000
N 3.70060714050 0.71218217028 0.00000000000
B 72.77860709650 -117.51005856679 0.00000000000
N 72.77860709650 -114.66132987711 0.00000000000
B 71.54507138300 -115.37351204740 0.00000000000
N 71.54507138300 -112.52478335772 0.00000000000
B 70.31153566950 -113.23696552800 0.00000000000
N 70.31153566950 -110.38823683832 0.00000000000
B 69.07799995600 -111.10041900860 0.00000000000
N 69.07799995600 -108.25169031893 0.00000000000
B 67.84446424250 -108.96387248921 0.00000000000
N 67.84446424250 -106.11514379953 0.00000000000
B 66.61092852900 -106.82732596981 0.00000000000
N 66.61092852900 -103.97859728013 0.00000000000
B 65.37739281550 -104.69077945042 0.00000000000
N 65.37739281550 -101.84205076074 0.00000000000
B 64.14385710200 -102.55423293102 0.00000000000
N 64.14385710200 -99.70550424134 0.00000000000
B 62.91032138850 -100.41768641162 0.00000000000
N 62.91032138850 -97.56895772194 0.00000000000
B 61.67678567500 -98.28113989223 0.00000000000
N 61.67678567500 -95.43241120255 0.00000000000
B 60.44324996150 -96.14459337283 0.00000000000
N 60.44324996150 -93.29586468315 0.00000000000
B 59.20971424800 -94.00804685343 0.00000000000
N 59.20971424800 -91.15931816376 0.00000000000
B 57.97617853450 -91.87150033404 0.00000000000
N 57.97617853450 -89.02277164436 0.00000000000
B 56.74264282100 -89.73495381464 0.00000000000
N 56.74264282100 -86.88622512496 0.00000000000
B 55.50910710750 -87.59840729525 0.00000000000
N 55.50910710750 -84.74967860557 0.00000000000
B 54.27557139400 -85.46186077585 0.00000000000
N 54.27557139400 -82.61313208617 0.00000000000
B 53.04203568050 -83.32531425645 0.00000000000
N 53.04203568050 -80.47658556677 0.00000000000
B 51.80849996700 -81.18876773706 0.00000000000
N 51.80849996700 -78.34003904738 0.00000000000
B 50.57496425350 -79.05222121766 0.00000000000
N 50.57496425350 -76.20349252798 0.00000000000
B 49.34142854000 -76.91567469826 0.00000000000
N 49.34142854000 -74.06694600859 0.00000000000
B 48.10789282650 -74.77912817887 0.00000000000
N 48.10789282650 -71.93039948919 0.00000000000
B 46.87435711300 -72.64258165947 0.00000000000
N 46.87435711300 -69.79385296979 0.00000000000
B 45.64082139950 -70.50603514008 0.00000000000
N 45.64082139950 -67.65730645040 0.00000000000
B 44.40728568600 -68.36948862068 0.00000000000
N 44.40728568600 -65.52075993100 0.00000000000
B 43.17374997250 -66.23294210128 0.00000000000
N 43.17374997250 -63.38421341160 0.00000000000
B 41.94021425900 -64.09639558189 0.00000000000
N 41.94021425900 -61.24766689221 0.00000000000
B 40.70667854550 -61.95984906249 0.00000000000
N 40.70667854550 -59.11112037281 0.00000000000
B 39.47314283200 -59.82330254309 0.00000000000
N 39.47314283200 -56.97457385342 0.00000000000
B 38.23960711850 -57.68675602370 0.00000000000
N 38.23960711850 -54.83802733402 0.00000000000
B 37.00607140500 -55.55020950430 0.00000000000
N 37.00607140500 -52.70148081462 0.00000000000
B 35.77253569150 -53.41366298491 0.00000000000
N 35.77253569150 -50.56493429523 0.00000000000
B 34.53899997800 -51.27711646551 0.00000000000
N 34.53899997800 -48.42838777583 0.00000000000
B 33.30546426450 -49.14056994611 0.00000000000
N 33.30546426450 -46.29184125643 0.00000000000
B 32.07192855100 -47.00402342672 0.00000000000
N 32.07192855100 -44.15529473704 0.00000000000
B 30.83839283750 -44.86747690732 0.00000000000
N 30.83839283750 -42.01874821764 0.00000000000
B 29.60485712400 -42.73093038792 0.00000000000
N 29.60485712400 -39.88220169825 0.00000000000
B 28.37132141050 -40.59438386853 0.00000000000
N 28.37132141050 -37.74565517885 0.00000000000
B 27.13778569700 -38.45783734913 0.00000000000
N 27.13778569700 -35.60910865945 0.00000000000
B 25.90424998350 -36.32129082974 0.00000000000
N 25.90424998350 -33.47256214006 0.00000000000
B 24.67071427000 -34.18474431034 0.00000000000
N 24.67071427000 -31.33601562066 0.00000000000
B 23.43717855650 -32.04819779094 0.00000000000
N 23.43717855650 -29.19946910126 0.00000000000
B 22.20364284300 -29.91165127155 0.00000000000
N 22.20364284300 -27.06292258187 0.00000000000
B 20.97010712950 -27.77510475215 0.00000000000
N 20.97010712950 -24.92637606247 0.00000000000
B 19.73657141600 -25.63855823275 0.00000000000
N 19.73657141600 -22.78982954308 0.00000000000
B 18.50303570250 -23.50201171336 0.00000000000
N 18.50303570250 -20.65328302368 0.00000000000
B 17.26949998900 -21.36546519396 0.00000000000
N 17.26949998900 -18.51673650428 0.00000000000
B 16.03596427550 -19.22891867457 0.00000000000
N 16.03596427550 -16.38018998489 0.00000000000
B 14.80242856200 -17.09237215517 0.00000000000
N 14.80242856200 -14.24364346549 0.00000000000
B 13.56889284850 -14.95582563577 0.00000000000
N 13.56889284850 -12.10709694609 0.00000000000
B 12.33535713500 -12.81927911638 0.00000000000
N 12.33535713500 -9.97055042670 0.00000000000
B 11.10182142150 -10.68273259698 0.00000000000
N 11.10182142150 -7.83400390730 0.00000000000
B 9.86828570800 -8.54618607758 0.00000000000
N 9.86828570800 -5.69745738791 0.00000000000
B 8.63474999450 -6.40963955819 0.00000000000
N 8.63474999450 -3.56091086851 0.00000000000
B 7.40121428100 -4.27309303879 0.00000000000
N 7.40121428100 -1.42436434911 0.00000000000
B 6.16767856750 -2.13654651940 0.00000000000
N 6.16767856750 0.71218217028 0.00000000000
B 4.93414285400 0.00000000000 0.00000000000
N 4.93414285400 2.84872868968 0.00000000000
B 74.01214281000 -115.37351204740 0.00000000000
N 74.01214281000 -112.52478335772 0.00000000000
B 72.77860709650 -113.23696552800 0.00000000000
