Superlattice vectors (celldm1 units):
10.50000000000 -11.25833020000 0.00000000000
15.00000000000 3.46410160000 0.00000000000
Layer 1 points (Angstrom):
S 3.16132168900 -7.30075968430 5.31045680000
S 3.16132168900 -7.30075968430 3.10314865000
S 1.58066084450 -4.56297480406 5.31045680000
S 1.58066084450 -4.56297480406 3.10314865000
S 0.00000000000 -1.82518992381 5.31045680000
S 0.00000000000 -1.82518992381 3.10314865000
S -1.58066084450 0.91259495643 5.31045680000
S -1.58066084450 0.91259495643 3.10314865000
Mo -3.16132168900 0.00000000000 4.20680272500
S 11.06462591150 -15.51411432504 5.31045680000
S 11.06462591150 -15.51411432504 3.10314865000
S 9.48396506700 -12.77632944479 5.31045680000
S 9.48396506700 -12.77632944479 3.10314865000
S 7.90330422250 -10.03854456455 5.31045680000
S 7.90330422250 -10.03854456455 3.10314865000
S 6.32264337800 -7.30075968430 5.31045680000
S 6.32264337800 -7.30075968430 3.10314865000
Mo 4.74198253350 -8.21335464073 4.20680272500
S 4.74198253350 -4.56297480406 5.31045680000
S 4.74198253350 -4.56297480406 3.10314865000
Mo 3.16132168900 -5.47556976049 4.20680272500
S 3.16132168900 -1.82518992381 5.31045680000
S 3.16132168900 -1.82518992381 3.10314865000
Mo 1.58066084450 -2.73778488024 4.20680272500
S 1.58066084450 0.91259495643 5.31045680000
S 1.58066084450 0.91259495643 3.10314865000
Mo 0.00000000000 0.00000000000 4.20680272500
S 18.96793013400 -23.72746896577 5.31045680000
S 18.96793013400 -23.72746896577 3.10314865000
S 17.38726928950 -20.98968408553 5.31045680000
S 17.38726928950 -20.98968408553 3.10314865000
S 15.80660844500 -18.25189920528 5.31045680000
S 15.80660844500 -18.25189920528 3.10314865000
Mo 14.22594760050 -19.16449416171 4.20680272500
S 14.22594760050 -15.51411432504 5.31045680000
S 14.22594760050 -15.51411432504 3.10314865000
Mo 12.64528675600 -16.42670928147 4.20680272500
S 12.64528675600 -12.77632944479 5.31045680000
S 12.64528675600 -12.77632944479 3.10314865000
Mo 11.06462591150 -13.68892440122 4.20680272500
S 11.06462591150 -10.03854456455 5.31045680000
S 11.06462591150 -10.03854456455 3.10314865000
Mo 9.48396506700 -10.95113952098 4.20680272500
S 9.48396506700 -7.30075968430 5.31045680000
S 9.48396506700 -7.30075968430 3.10314865000
Mo 7.90330422250 -8.21335464073 4.20680272500
S 7.90330422250 -4.56297480406 5.31045680000
S 7.90330422250 -4.56297480406 3.10314865000
Mo 6.32264337800 -5.47556976049 4.20680272500
S 6.32264337800 -1.82518992381 5.31045680000
S 6.32264337800 -1.82518992381 3.10314865000
Mo 4.74198253350 -2.73778488024 4.20680272500
