Superlattice vectors (celldm1 units):
2.00000000000 -1.73205080000 0.00000000000
2.50000000000 0.86602540000 0.00000000000
Layer 1 points (Angstrom):
N -3.75544942200 0.72273657219 0.00000000000
N 0.00000000000 -1.44547315305 0.00000000000
N -1.25181647400 0.72273657219 0.00000000000
B -2.50363294800 0.00000000000 0.00000000000
N 2.50363294800 -1.44547315305 0.00000000000
B 1.25181647400 -2.16820972524 0.00000000000
N 1.25181647400 0.72273657219 0.00000000000
B 0.00000000000 0.00000000000 0.00000000000
N 5.00726589600 -1.44547315305 0.00000000000
B 3.75544942200 -2.16820972524 0.00000000000
N 3.75544942200 0.72273657219 0.00000000000
B 2.50363294800 0.00000000000 0.00000000000
B 1.25181647400 2.16820972524 0.00000000000
B 5.00726589600 0.00000000000 0.00000000000
Number of points in layer 1: 14
Layer 2 points (Angstrom):
Se 3.75579197251 -5.78167009099 11.31045680000
Se 3.75579197251 -5.78167009099 9.10314865000
Se 1.25203057017 -3.61360870542 11.31045680000
Se 1.25203057017 -3.61360870542 9.10314865000
Se 6.88526892285 -4.69737980671 11.31045680000
Se 6.88526892285 -4.69737980671 9.10314865000
Mo 5.00752280467 -4.33612277114 10.20680272500
Se 4.38150752052 -2.52931842114 11.31045680000
Se 4.38150752052 -2.52931842114 9.10314865000
Mo 2.50376140233 -2.16806138557 10.20680272500
Mo 8.13699975501 -3.25183248686 10.20680272500
Mo 5.63323835268 -1.08377110129 10.20680272500
Number of points in layer 2: 12

Total number of atoms: 26
